term,train
animaldispers,Y
antplant,Y
bipartit,Y
carri,Y
coevolut,Y
coevolutionari,Y
coexist,Y
conspecif,Y
consum,Y
cooccur,Y
cooccurr,Y
diet,Y
dietari,Y
digest,Y
dispers,Y
dispersaldepend,Y
endocarp,Y
endozoochor,Y
endozoochori,Y
faecal,Y
fecal,Y
fece,Y
feed,Y
fleshi,Y
fleshyfruit,Y
food,Y
frugivor,Y
frugivori,Y
fruit,Y
fruiteat,Y
gutpassag,Y
harvest,Y
interact,Y
largeseed,Y
mutualist,Y
pericarp,Y
plantfrugivor,Y
remov,Y
ripe,Y
ripen,Y
scatter,Y
scatterhoard,Y
seeddispers,Y
seedeat,Y
seedharvest,Y
vertebratedispers,Y
